order_item_id,order_id,product_id,quantity,unit_price,created_at,updated_at
70001,900001,5001,2,490.00,2026-07-01T09:15:02,2026-07-01T09:15:02
70002,900001,5002,1,600.00,2026-07-01T09:15:02,2026-07-01T09:15:02
70003,900002,5003,4,80.00,2026-07-02T14:03:01,2026-07-02T14:03:01
70004,900003,5100,1,45999.00,2026-07-03T21:47:01,2026-07-03T21:47:01
70005,900004,5004,1,129.99,2026-07-05T11:30:01,2026-07-05T11:30:01
70006,900005,5001,1,490.00,2026-07-08T18:22:01,2026-07-08T18:22:01
70007,900005,5005,3,90.00,2026-07-08T18:22:01,2026-07-08T18:22:01
70008,900006,5200,2,7900,2026-07-10T10:05:01,2026-07-10T10:05:01
70009,900007,5002,1,2999.00,2026-07-12T16:40:01,2026-07-12T16:40:01
70010,900008,5006,8,11.00,2026-07-15T07:55:01,2026-07-15T07:55:01
